"No.","Name","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year To Date)","Average Volume","Relative Volume","Change","Volume"
112,"Residential Construction",6.28%,3.53%,9.36%,-7.46%,-1.02%,2.97%,15455.35,1.17,2.81%,18154807.00
113,"Resorts & Casinos",-1.33%,-0.34%,-0.52%,-0.27%,0.41%,-8.19%,27697.28,0.81,-0.26%,22298040.00
114,"Restaurants",-0.61%,-0.22%,0.18%,-6.08%,-3.84%,1.03%,96306.05,1.45,-0.40%,139606043.00
115,"Scientific & Technical Instruments",11.91%,9.22%,9.46%,39.03%,64.93%,50.52%,37650.67,0.85,3.92%,32006215.00
116,"Security & Protection Services",3.32%,13.66%,17.59%,5.73%,10.98%,13.41%,21891.89,0.92,0.15%,20080848.00
117,"Semiconductor Equipment & Materials",7.05%,-7.72%,13.95%,44.83%,170.28%,76.97%,83781.66,0.78,2.27%,65719398.00
118,"Semiconductors",7.92%,-1.01%,4.87%,42.71%,59.78%,40.14%,755086.90,0.71,1.17%,535358295.00
119,"Shell Companies",-0.04%,-1.82%,5.07%,22.21%,50.47%,20.76%,10584.86,1.23,0.02%,12978631.00
120,"Silver",26.48%,16.74%,-4.31%,8.27%,133.06%,25.78%,24292.72,1.02,6.94%,24704836.00
121,"Software - Application",8.22%,13.56%,13.26%,14.97%,-22.50%,-12.12%,552560.71,1.09,3.12%,601358192.00
122,"Software - Infrastructure",9.64%,20.29%,16.97%,32.91%,-2.88%,7.08%,621995.82,0.95,1.40%,592289183.00
123,"Solar",12.92%,-2.73%,-1.21%,-8.92%,39.99%,-3.22%,58354.78,1.05,3.66%,61321674.00
124,"Specialty Business Services",0.15%,6.97%,4.68%,3.23%,-18.97%,-5.76%,48075.50,0.97,0.78%,46394252.00
125,"Specialty Chemicals",4.29%,1.64%,1.60%,5.12%,12.62%,16.95%,69558.75,0.92,0.51%,63848934.00
126,"Specialty Industrial Machinery",3.84%,2.90%,3.33%,10.33%,25.42%,22.83%,136006.40,0.98,0.19%,132999563.00
127,"Specialty Retail",2.98%,7.78%,8.26%,-1.01%,6.47%,9.49%,58707.85,0.96,2.08%,56573765.00
